Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
40817,GPT-4,0,0,0,Conversation log
40833,GPT-4,151,34,185,Conversation log
40851,GPT-4,0,0,0,Conversation log
40856,ChatGPT,272,184,456,Conversation log
40862,GPT-4,229,40,269,Conversation log
40870,ChatGPT,1413,312,1725,Conversation log
40882,ChatGPT,1052,212,1264,Conversation log
40884,ChatGPT,962,384,1346,Conversation log
40889,ChatGPT,1335,340,1675,Conversation log
40904,ChatGPT,19,411,430,Conversation log
40908,ChatGPT,461,250,711,Conversation log
40918,ChatGPT,0,0,0,Conversation log
40926,ChatGPT,138,41,179,Conversation log
40930,ChatGPT,149,17,166,Conversation log
40930,ChatGPT,821,245,1066,Conversation log
40948,ChatGPT,0,0,0,Conversation log
40953,ChatGPT,1708,695,2403,Conversation log
40958,ChatGPT,651,235,886,Conversation log
40966,ChatGPT,16,454,470,Conversation log
40996,ChatGPT,21,260,281,Conversation log
41013,GPT-4,0,0,0,Conversation log
41016,ChatGPT,306,233,539,Conversation log
41031,GPT-4,0,0,0,Conversation log
41035,ChatGPT,228,41,269,Conversation log
41045,ChatGPT,292,355,647,Conversation log
41046,ChatGPT,16,380,396,Conversation log
41068,ChatGPT,0,0,0,Conversation log
41073,ChatGPT,446,570,1016,Conversation log
41078,ChatGPT,0,0,0,Conversation log
41083,ChatGPT,1189,373,1562,Conversation log
41093,GPT-4,0,0,0,Conversation log
41098,GPT-4,0,0,0,Conversation log
41099,ChatGPT,1718,549,2267,Conversation log
41102,ChatGPT,1115,506,1621,Conversation log
41105,ChatGPT,1549,468,2017,Conversation log
41114,ChatGPT,932,147,1079,Conversation log
41119,GPT-4,2554,340,2894,Conversation log
41138,GPT-4,0,0,0,Conversation log
41147,ChatGPT,29,509,538,Conversation log
41158,GPT-4,0,0,0,Conversation log
41176,ChatGPT,164,111,275,Conversation log
41189,ChatGPT,44,78,122,Conversation log
41193,ChatGPT,1102,174,1276,Conversation log
41194,GPT-4,72,167,239,Conversation log
41198,ChatGPT,134,326,460,Conversation log
41208,ChatGPT,16,458,474,Conversation log
41212,GPT-4,767,279,1046,Conversation log
41215,GPT-4,0,0,0,Conversation log
41217,ChatGPT,66,178,244,Conversation log
41219,ChatGPT,44,15,59,Conversation log
41231,ChatGPT,262,121,383,Conversation log
41239,GPT-4,263,57,320,Conversation log
41243,ChatGPT,474,431,905,Conversation log
41266,ChatGPT,490,326,816,Conversation log
41293,GPT-4,0,0,0,Conversation log
41309,ChatGPT,416,297,713,Conversation log
41319,ChatGPT,1293,311,1604,Conversation log
41335,ChatGPT,399,120,519,Conversation log
41335,ChatGPT,0,0,0,Conversation log
41345,ChatGPT,1550,334,1884,Conversation log
41351,ChatGPT,106,23,129,Conversation log
41357,ChatGPT,568,166,734,Conversation log
41368,ChatGPT,463,104,567,Conversation log
41386,ChatGPT,602,63,665,Conversation log
41397,ChatGPT,1619,273,1892,Conversation log
41402,ChatGPT,413,99,512,Conversation log
41406,ChatGPT,61,722,783,Conversation log
41406,ChatGPT,580,165,745,Conversation log
41446,ChatGPT,19,339,358,Conversation log
41464,ChatGPT,163,397,560,Conversation log
41474,ChatGPT,45,453,498,Conversation log
41486,ChatGPT,1483,516,1999,Conversation log
41489,ChatGPT,28,388,416,Conversation log
41491,ChatGPT,380,389,769,Conversation log
41549,ChatGPT,1253,497,1750,Conversation log
41549,ChatGPT,1333,330,1663,Conversation log
41549,ChatGPT,745,137,882,Conversation log
41551,GPT-4,0,0,0,Conversation log
41553,ChatGPT,719,297,1016,Conversation log
41558,ChatGPT,199,59,258,Conversation log
41606,GPT-4,26,349,375,Conversation log
41613,ChatGPT,905,116,1021,Conversation log
41616,GPT-4,25,4,29,Conversation log
41617,ChatGPT,1002,204,1206,Conversation log
41624,ChatGPT,63,548,611,Conversation log
41626,GPT-4,46,3,49,Conversation log
41629,ChatGPT,1623,684,2307,Conversation log
41632,ChatGPT,997,393,1390,Conversation log
41640,ChatGPT,789,344,1133,Conversation log
41641,GPT-4,64,4,68,Conversation log
41641,GPT-4,0,0,0,Conversation log
41649,GPT-4,607,12,619,Conversation log
41666,ChatGPT,951,188,1139,Conversation log
41666,ChatGPT,573,385,958,Conversation log
41686,ChatGPT,991,43,1034,Conversation log
41687,ChatGPT,1122,130,1252,Conversation log
41688,ChatGPT,26,94,120,Conversation log
41701,GPT-4,84,30,114,Conversation log
41711,ChatGPT,140,350,490,Conversation log
41716,ChatGPT,1168,527,1695,Conversation log
41751,ChatGPT,908,115,1023,Conversation log
41754,GPT-4,416,353,769,Conversation log
41775,ChatGPT,28,20,48,Conversation log
41784,ChatGPT,1700,565,2265,Conversation log
41792,ChatGPT,984,540,1524,Conversation log
41797,ChatGPT,767,291,1058,Conversation log
41799,ChatGPT,66,8,74,Conversation log
41809,ChatGPT,1165,398,1563,Conversation log
41814,ChatGPT,103,19,122,Conversation log
41844,GPT-4,0,0,0,Conversation log
41849,ChatGPT,1026,447,1473,Conversation log
41887,GPT-4,166,280,446,Conversation log
41889,ChatGPT,523,203,726,Conversation log
41904,GPT-4,805,139,944,Conversation log
41917,ChatGPT,1454,311,1765,Conversation log
41924,ChatGPT,1609,524,2133,Conversation log
41936,ChatGPT,1100,520,1620,Conversation log
41937,GPT-4,48,336,384,Conversation log
41941,ChatGPT,46,491,537,Conversation log
41956,ChatGPT,561,434,995,Conversation log
41962,GPT-4,0,0,0,Conversation log
41965,ChatGPT,0,0,0,Conversation log
41970,ChatGPT,1023,443,1466,Conversation log
41973,ChatGPT,1083,223,1306,Conversation log
41975,ChatGPT,1929,377,2306,Conversation log
42036,ChatGPT,1745,499,2244,Conversation log
42047,ChatGPT,978,85,1063,Conversation log
42052,ChatGPT,28,288,316,Conversation log
42055,ChatGPT,156,24,180,Conversation log
42070,ChatGPT,334,426,760,Conversation log
42080,ChatGPT,784,536,1320,Conversation log
42084,GPT-4,0,0,0,Conversation log
42086,ChatGPT,841,322,1163,Conversation log
42094,ChatGPT,1350,629,1979,Conversation log
42120,ChatGPT,667,536,1203,Conversation log
42123,ChatGPT,24,6,30,Conversation log
42124,ChatGPT,202,11,213,Conversation log
42133,ChatGPT,0,0,0,Conversation log
42147,ChatGPT,1993,462,2455,Conversation log
42149,GPT-4,0,0,0,Conversation log
42162,GPT-4,48,183,231,Conversation log
42167,ChatGPT,1195,430,1625,Conversation log
42183,ChatGPT,0,0,0,Conversation log
42194,ChatGPT,0,0,0,Conversation log
42199,ChatGPT,0,0,0,Conversation log
42213,ChatGPT,1777,638,2415,Conversation log
42214,ChatGPT,892,121,1013,Conversation log
42225,GPT-4,0,0,0,Conversation log
42239,ChatGPT,1869,609,2478,Conversation log
42257,GPT-4,267,167,434,Conversation log
42270,ChatGPT,1244,854,2098,Conversation log
42280,ChatGPT,1847,556,2403,Conversation log
42296,ChatGPT,185,543,728,Conversation log
42297,ChatGPT,23,404,427,Conversation log
42300,ChatGPT,38,560,598,Conversation log
42313,ChatGPT,878,96,974,Conversation log
42315,GPT-4,0,0,0,Conversation log
42317,ChatGPT,1945,657,2602,Conversation log
42317,ChatGPT,39,22,61,Conversation log
42323,ChatGPT,177,5,182,Conversation log
42326,ChatGPT,26,696,722,Conversation log
42328,ChatGPT,1649,341,1990,Conversation log
42338,ChatGPT,626,433,1059,Conversation log
42339,ChatGPT,1182,651,1833,Conversation log
42365,ChatGPT,208,22,230,Conversation log
42369,ChatGPT,0,0,0,Conversation log
42371,ChatGPT,294,102,396,Conversation log
42372,ChatGPT,103,30,133,Conversation log
42372,ChatGPT,1938,578,2516,Conversation log
42379,ChatGPT,1531,76,1607,Conversation log
42389,ChatGPT,1081,490,1571,Conversation log
42399,ChatGPT,20,106,126,Conversation log
42404,ChatGPT,1925,580,2505,Conversation log
42407,ChatGPT,1592,529,2121,Conversation log
42428,ChatGPT,172,10,182,Conversation log
42432,ChatGPT,1947,556,2503,Conversation log
42440,GPT-4,0,0,0,Conversation log
42442,GPT-4,793,339,1132,Conversation log
42452,GPT-4,0,0,0,Conversation log
42457,ChatGPT,614,197,811,Conversation log
42466,ChatGPT,1855,569,2424,Conversation log
42492,ChatGPT,1004,7,1011,Conversation log
42507,ChatGPT,0,0,0,Conversation log
42509,ChatGPT,1874,547,2421,Conversation log
42526,ChatGPT,267,58,325,Conversation log
42531,ChatGPT,1844,592,2436,Conversation log
42532,ChatGPT,177,11,188,Conversation log
42550,ChatGPT,191,922,1113,Conversation log
42550,ChatGPT,1589,396,1985,Conversation log
42551,ChatGPT,50,4,54,Conversation log
42557,ChatGPT,1877,674,2551,Conversation log
42565,GPT-4,0,0,0,Conversation log
42574,ChatGPT,139,140,279,Conversation log
42587,GPT-4,744,137,881,Conversation log
42603,GPT-4,0,0,0,Conversation log
42620,ChatGPT,720,56,776,Conversation log
42683,ChatGPT,404,50,454,Conversation log
42738,ChatGPT,472,59,531,Conversation log
42842,GPT-4,0,0,0,Conversation log
42856,ChatGPT,12,26,38,Conversation log
42859,ChatGPT,193,431,624,Conversation log
42865,GPT-4,21,274,295,Conversation log
42877,ChatGPT,1655,402,2057,Conversation log
42904,ChatGPT,530,36,566,Conversation log
42913,ChatGPT,25,250,275,Conversation log
42931,ChatGPT,1252,209,1461,Conversation log
42961,ChatGPT,320,470,790,Conversation log
42965,GPT-4,0,0,0,Conversation log
42973,ChatGPT,73,175,248,Conversation log
42974,ChatGPT,1941,691,2632,Conversation log
42989,GPT-4,1011,65,1076,Conversation log
42992,ChatGPT,277,25,302,Conversation log
43033,ChatGPT,556,15,571,Conversation log
43046,ChatGPT,265,299,564,Conversation log
43047,GPT-4,1092,24,1116,Conversation log
43063,ChatGPT,1287,354,1641,Conversation log
43072,GPT-4,0,0,0,Conversation log
43076,ChatGPT,219,80,299,Conversation log
43083,GPT-4,0,0,0,Conversation log
43088,ChatGPT,110,77,187,Conversation log
43114,ChatGPT,305,96,401,Conversation log
43115,ChatGPT,589,507,1096,Conversation log
43118,ChatGPT,842,667,1509,Conversation log
43143,ChatGPT,1542,249,1791,Conversation log
43172,ChatGPT,1141,211,1352,Conversation log
43183,ChatGPT,384,88,472,Conversation log
43201,ChatGPT,38,52,90,Conversation log
43244,ChatGPT,525,58,583,Conversation log
43334,ChatGPT,1523,370,1893,Conversation log
43377,GPT-4,14,98,112,Conversation log
43463,ChatGPT,1494,208,1702,Conversation log
43484,ChatGPT,1645,190,1835,Conversation log
43502,ChatGPT,1395,157,1552,Conversation log
43513,GPT-4,0,0,0,Conversation log
43526,GPT-4,0,0,0,Conversation log
43543,ChatGPT,1245,386,1631,Conversation log
43544,ChatGPT,1000,381,1381,Conversation log
43565,ChatGPT,1497,398,1895,Conversation log
43579,GPT-4,787,312,1099,Conversation log
43619,ChatGPT,1804,685,2489,Conversation log
43659,ChatGPT,209,528,737,Conversation log
43661,ChatGPT,2026,652,2678,Conversation log
43683,GPT-4,0,0,0,Conversation log
43720,ChatGPT,0,0,0,Conversation log
43734,ChatGPT,0,0,0,Conversation log
43748,ChatGPT,66,170,236,Conversation log
43768,ChatGPT,374,266,640,Conversation log
43783,ChatGPT,654,314,968,Conversation log
43784,GPT-4,861,128,989,Conversation log
43851,GPT-4,595,228,823,Conversation log
43921,GPT-4,0,0,0,Conversation log
43932,ChatGPT,69,25,94,Conversation log
43942,GPT-4,0,0,0,Conversation log
44000,ChatGPT,75,17,92,Conversation log
44032,ChatGPT,72,13,85,Conversation log
44042,GPT-4,0,0,0,Conversation log
44057,ChatGPT,93,20,113,Conversation log
44081,ChatGPT,83,21,104,Conversation log
44104,ChatGPT,83,15,98,Conversation log
44108,ChatGPT,27,504,531,Conversation log
44132,GPT-4,0,0,0,Conversation log
44161,ChatGPT,1338,601,1939,Conversation log
44164,GPT-4,0,0,0,Conversation log
44168,ChatGPT,8,9,17,Conversation log
44176,ChatGPT,552,477,1029,Conversation log
44187,ChatGPT,122,137,259,Conversation log
44221,ChatGPT,17,441,458,Conversation log
44227,ChatGPT,17,352,369,Conversation log
44245,ChatGPT,1480,553,2033,Conversation log
44302,ChatGPT,1089,318,1407,Conversation log
44314,ChatGPT,416,405,821,Conversation log
44316,GPT-4,0,0,0,Conversation log
44316,GPT-4,0,0,0,Conversation log
44326,ChatGPT,282,172,454,Conversation log
44329,GPT-4,35,145,180,Conversation log
44352,ChatGPT,848,317,1165,Conversation log
44364,ChatGPT,743,417,1160,Conversation log
44384,ChatGPT,1047,258,1305,Conversation log
44389,ChatGPT,1177,475,1652,Conversation log
44400,ChatGPT,1317,319,1636,Conversation log
44412,ChatGPT,1221,569,1790,Conversation log
44449,ChatGPT,18,111,129,Conversation log
44526,ChatGPT,1663,512,2175,Conversation log
44562,ChatGPT,17,376,393,Conversation log
44565,ChatGPT,1750,320,2070,Conversation log
44592,ChatGPT,1960,461,2421,Conversation log
44617,GPT-4,216,191,407,Conversation log
44853,GPT-4,0,0,0,Conversation log
44865,ChatGPT,0,0,0,Conversation log
44878,GPT-4,0,0,0,Conversation log
44879,ChatGPT,101,467,568,Conversation log
44897,GPT-4,1150,212,1362,Conversation log
44930,ChatGPT,295,84,379,Conversation log
44934,ChatGPT,405,321,726,Conversation log
44943,ChatGPT,392,520,912,Conversation log
44995,ChatGPT,334,232,566,Conversation log
45023,ChatGPT,586,523,1109,Conversation log
45049,GPT-4,0,0,0,Conversation log
45343,ChatGPT,1430,625,2055,Conversation log
45390,GPT-4,3112,689,3801,Conversation log
45531,ChatGPT,49,691,740,Conversation log
45538,ChatGPT,68,151,219,Conversation log
45840,ChatGPT,56,326,382,Conversation log
45912,ChatGPT,108,197,305,Conversation log
45914,ChatGPT,317,241,558,Conversation log
45929,ChatGPT,316,239,555,Conversation log
46074,ChatGPT,229,313,542,Conversation log
46078,ChatGPT,1752,442,2194,Conversation log
46133,ChatGPT,1833,362,2195,Conversation log
46186,ChatGPT,1697,548,2245,Conversation log
46393,ChatGPT,568,455,1023,Conversation log
46440,ChatGPT,1115,432,1547,Conversation log
46753,ChatGPT,20,395,415,Conversation log
46819,ChatGPT,0,0,0,Conversation log
46936,ChatGPT,0,0,0,Conversation log
46972,ChatGPT,0,0,0,Conversation log
46997,ChatGPT,0,0,0,Conversation log
47028,GPT-4,0,0,0,Conversation log
47100,ChatGPT,809,1093,1902,Conversation log
47136,ChatGPT,21,304,325,Conversation log
47208,ChatGPT,13,453,466,Conversation log
47420,GPT-4,0,0,0,Conversation log
47540,GPT-4,1083,57,1140,Conversation log
47638,GPT-4,0,0,0,Conversation log
47672,ChatGPT,68,344,412,Conversation log
47716,ChatGPT,60,275,335,Conversation log
47728,GPT-4,68,329,397,Conversation log
47730,GPT-4,0,0,0,Conversation log
47735,ChatGPT,20,375,395,Conversation log
47745,GPT-4,0,0,0,Conversation log
47819,GPT-4,0,0,0,Conversation log
47891,GPT-4,75,260,335,Conversation log
47904,GPT-4,1124,194,1318,Conversation log
47989,ChatGPT,97,462,559,Conversation log
48009,GPT-4,0,0,0,Conversation log
48078,GPT-4,0,0,0,Conversation log
48126,ChatGPT,104,377,481,Conversation log
48273,ChatGPT,506,483,989,Conversation log
48348,ChatGPT,144,238,382,Conversation log
48354,ChatGPT,285,262,547,Conversation log
48361,ChatGPT,52,123,175,Conversation log
48537,ChatGPT,168,352,520,Conversation log
48591,GPT-4,0,0,0,Conversation log
48595,ChatGPT,25,261,286,Conversation log
48598,GPT-4,52,105,157,Conversation log
48633,GPT-4,0,0,0,Conversation log
48635,GPT-4,174,96,270,Conversation log
48644,ChatGPT,338,123,461,Conversation log
48676,GPT-4,0,0,0,Conversation log
48681,GPT-4,303,109,412,Conversation log
48703,GPT-4,188,321,509,Conversation log
48764,ChatGPT,1482,363,1845,Conversation log
48791,ChatGPT,509,368,877,Conversation log
48864,GPT-4,101,371,472,Conversation log
48887,ChatGPT,15,296,311,Conversation log
48911,ChatGPT,414,276,690,Conversation log
48991,ChatGPT,1458,238,1696,Conversation log
49122,ChatGPT,16,6,22,Conversation log
49154,GPT-4,549,390,939,Conversation log
49159,ChatGPT,0,0,0,Conversation log
49180,ChatGPT,17,179,196,Conversation log
49184,ChatGPT,914,377,1291,Conversation log
49187,ChatGPT,39,72,111,Conversation log
49192,ChatGPT,50,11,61,Conversation log
49220,GPT-4,23,167,190,Conversation log
49228,ChatGPT,81,18,99,Conversation log
49251,ChatGPT,631,276,907,Conversation log
49264,ChatGPT,115,16,131,Conversation log
49277,ChatGPT,142,11,153,Conversation log
49284,ChatGPT,31,701,732,Conversation log
49289,ChatGPT,1308,281,1589,Conversation log
49292,ChatGPT,129,12,141,Conversation log
49314,ChatGPT,585,288,873,Conversation log
49317,ChatGPT,128,18,146,Conversation log
